rank,labels,hexes,sigma0,sigma2,sigma4,sigma8,sigma16,p99_sigma2,rank_key
35,Blue|Purple|Lime Green|Magenta,#003776|#6C47B2|#D5D701|#F24574,31.6333,26.9304,25.6513,24.4682,22.8029,64.8117,25.6993
36,Black|Purple|Orange|Yellow,#080A0D|#6C47B2|#F67405|#FFE800,32.7731,26.8629,25.6034,24.5761,23.2509,63.5595,25.7195
37,Black|Purple|Lime Green|Orange,#080A0D|#6C47B2|#D5D701|#F67405,32.8799,26.9589,25.6882,24.5982,23.1056,64.1497,25.7786
38,Black|Purple|Olive Green|Red,#080A0D|#6C47B2|#948902|#E72F1D,33.7725,27.0315,25.7039,24.7152,23.4757,69.2509,25.8734
39,Brown|Purple|Lime Green|Magenta,#55331A|#6C47B2|#D5D701|#F24574,35.4700,27.4627,25.7417,24.4033,22.6848,67.5874,25.9330
40,Azure Blue|Purple|Red|Yellow,#0066D9|#6C47B2|#E72F1D|#FFE800,30.8413,27.1260,25.9792,24.9001,23.6125,66.2125,26.0130
41,Purple|Magenta|Orange|Yellow,#6C47B2|#F24574|#F67405|#FFE800,30.7693,27.1558,26.0346,24.9599,23.5248,71.3198,26.0578
42,Purple|Olive Green|Red|Yellow,#6C47B2|#948902|#E72F1D|#FFE800,31.9942,27.2260,25.9577,24.9211,23.8435,71.7011,26.0735
43,Brown|Purple|Olive Green|Red,#55331A|#6C47B2|#948902|#E72F1D,33.1808,27.3363,26.0553,25.0562,23.7697,68.6151,26.1962
44,Blue|Azure Blue|Red|Yellow,#003776|#0066D9|#E72F1D|#FFE800,31.6891,27.4559,26.1605,25.0115,23.6666,56.5331,26.2337
45,Blue|Purple|Orange|Yellow,#003776|#6C47B2|#F67405|#FFE800,30.4865,27.3721,26.2451,25.1069,23.6091,65.5443,26.2395
46,Azure Blue|Black|Red|Yellow,#0066D9|#080A0D|#E72F1D|#FFE800,34.5577,27.6338,26.0741,24.8524,23.5691,52.2133,26.2431
47,Purple|Red|White|Orange,#6C47B2|#E72F1D|#EBF7FF|#F67405,30.9889,27.3145,26.2629,25.2895,24.0175,77.8500,26.3020
48,Purple|Cold White|Red|Orange,#6C47B2|#D9DFE5|#E72F1D|#F67405,30.6227,27.3307,26.3418,25.3527,24.0203,75.2022,26.3417
49,Purple|Olive Green|Lime Green|Red,#6C47B2|#948902|#D5D701|#E72F1D,32.3528,27.5401,26.2905,25.1931,23.8118,71.5484,26.3666
50,Brown|Purple|Magenta|Yellow,#55331A|#6C47B2|#F24574|#FFE800,35.8503,27.8519,26.1431,24.8981,23.2347,73.2185,26.3750
51,Azure Blue|Black|Lime Green|Red,#0066D9|#080A0D|#D5D701|#E72F1D,34.6489,27.7564,26.2425,25.0214,23.5907,50.2126,26.3889
52,Green|Dark Olive Drab|Purple|Red,#06924D|#575B54|#6C47B2|#E72F1D,31.4828,27.2925,26.3605,25.5498,24.2252,76.6143,26.4211
53,Purple|Lime Green|Magenta|Orange,#6C47B2|#D5D701|#F24574|#F67405,31.0248,27.5163,26.4404,25.3324,23.7118,68.0119,26.4244
54,Dark Grey|Purple|Orange|Yellow,#485259|#6C47B2|#F67405|#FFE800,30.7787,27.5548,26.4411,25.3579,23.9310,63.8192,26.4563
55,Blue|Purple|Red|Orange,#003776|#6C47B2|#E72F1D|#F67405,31.8388,27.6546,26.3925,25.2992,24.1114,86.1888,26.4769
56,Green|Purple|Orange|Yellow,#06924D|#6C47B2|#F67405|#FFE800,29.7300,27.2693,26.4827,25.6995,24.5731,65.4896,26.4844
57,Blue|Azure Blue|Lime Green|Red,#003776|#0066D9|#D5D701|#E72F1D,31.8502,27.6955,26.4570,25.3076,23.8230,52.2558,26.5015
58,Green|Dark Grey|Purple|Red,#06924D|#485259|#6C47B2|#E72F1D,31.2895,27.3424,26.4642,25.6758,24.3536,76.7269,26.5091
59,Black|Purple|Red|Orange,#080A0D|#6C47B2|#E72F1D|#F67405,33.8496,27.7645,26.3947,25.3071,24.1686,76.4786,26.5358
60,Blue|Green|Purple|Red,#003776|#06924D|#6C47B2|#E72F1D,31.0689,27.3685,26.5485,25.7795,24.4519,77.1044,26.5740
61,Dark Grey|Purple|Lime Green|Magenta,#485259|#6C47B2|#D5D701|#F24574,33.3170,27.9208,26.4860,25.2788,23.6352,64.5744,26.5998
