rank,labels,hexes,sigma0,sigma2,sigma4,sigma8,sigma16,p99_sigma2,rank_key
921,Polymaker Teal|Purple|Cold White|Pink,#4CC0C7|#6C47B2|#D9DFE5|#F1A1AF,38.0683,36.7151,35.9085,34.4308,31.5117,90.6910,35.5729
922,Black|Purple|Olive Green|Lime Green,#080A0D|#6C47B2|#948902|#D5D701,43.3402,36.9014,35.4960,34.2537,32.4384,94.3658,35.5775
923,Azure Blue|Green|Magenta|Orange,#0066D9|#06924D|#F24574|#F67405,39.4332,36.5018,35.6662,34.6743,32.8694,66.9925,35.5880
924,Azure Blue|Purple|Grey|Lime Green,#0066D9|#6C47B2|#8C9099|#D5D701,38.0567,36.7113,35.8606,34.4798,32.1327,90.2414,35.5956
925,Polymaker Teal|Purple|White|Pink,#4CC0C7|#6C47B2|#EBF7FF|#F1A1AF,38.0668,36.7006,35.9221,34.5080,31.6807,89.8536,35.6043
926,Azure Blue|Brown|Lime Green|Orange,#0066D9|#55331A|#D5D701|#F67405,41.9484,36.8912,35.6232,34.3199,32.3961,56.9248,35.6055
927,Azure Blue|Brown|Orange|Yellow,#0066D9|#55331A|#F67405|#FFE800,41.9515,36.8995,35.6086,34.3157,32.4766,58.8134,35.6076
928,Azure Blue|Polymaker Teal|Purple|Magenta,#0066D9|#4CC0C7|#6C47B2|#F24574,39.3282,36.6679,35.7651,34.5502,32.4522,102.4464,35.6090
929,Blue|Azure Blue|Black|Magenta,#003776|#0066D9|#080A0D|#F24574,45.3764,37.3281,35.4729,33.9483,32.0143,114.0701,35.6382
930,Azure Blue|Green|Lime Green|Magenta,#0066D9|#06924D|#D5D701|#F24574,39.9397,36.5969,35.6260,34.7214,33.2969,67.6891,35.6591
931,Blue|Dark Grey|Purple|Cold White,#003776|#485259|#6C47B2|#D9DFE5,42.1053,37.4485,35.9008,33.9440,30.6314,95.6677,35.6962
932,Dark Grey|Polymaker Teal|Purple|Pink,#485259|#4CC0C7|#6C47B2|#F1A1AF,40.0320,37.0828,35.9532,34.3463,31.3527,90.6811,35.7145
933,Azure Blue|Brown|Purple|Magenta,#0066D9|#55331A|#6C47B2|#F24574,44.8679,37.4045,35.5606,34.0330,32.0870,109.8136,35.7187
934,Dark Grey|Purple|White|Pink,#485259|#6C47B2|#EBF7FF|#F1A1AF,40.0569,37.1201,35.9864,34.3587,31.3229,89.1555,35.7394
935,Polymaker Teal|Dark Olive Drab|Purple|Grey,#4CC0C7|#575B54|#6C47B2|#8C9099,41.8783,37.3535,35.9147,34.1334,31.1402,94.4963,35.7434
936,Azure Blue|Green|Black|Orange,#0066D9|#06924D|#080A0D|#F67405,41.5152,36.7106,35.8159,34.7771,32.7691,60.1099,35.7438
937,Blue|Azure Blue|Green|Magenta,#003776|#0066D9|#06924D|#F24574,40.4345,36.7125,35.7995,34.7834,32.7199,88.8212,35.7480
938,Azure Blue|Purple|Lime Green|Pink,#0066D9|#6C47B2|#D5D701|#F1A1AF,38.2275,36.8184,36.0065,34.7098,32.4697,83.5626,35.7641
939,Black|Purple|Olive Green|Yellow,#080A0D|#6C47B2|#948902|#FFE800,43.2924,37.0389,35.7002,34.4932,32.5082,92.9065,35.7661
940,Blue|Polymaker Teal|Purple|Tan,#003776|#4CC0C7|#6C47B2|#A79E82,38.2665,36.9839,36.1346,34.5789,31.5169,84.8004,35.7814
941,Blue|Green|Purple|Olive Green,#003776|#06924D|#6C47B2|#948902,42.3054,36.9384,35.7855,34.6477,32.5619,87.8716,35.7930
942,Azure Blue|Purple|Tan|Yellow,#0066D9|#6C47B2|#A79E82|#FFE800,38.4002,36.9114,36.0434,34.7171,32.2942,88.7395,35.8142
943,Dark Grey|Dark Olive Drab|Purple|Grey,#485259|#575B54|#6C47B2|#8C9099,41.9321,37.4878,36.0070,34.1409,30.9456,93.1692,35.8144
944,Polymaker Teal|Purple|Grey|Tan,#4CC0C7|#6C47B2|#8C9099|#A79E82,38.2105,37.0073,36.1738,34.6298,31.5746,84.8940,35.8186
945,Polymaker Teal|Purple|Tan|Cold White,#4CC0C7|#6C47B2|#A79E82|#D9DFE5,38.2105,37.0073,36.1740,34.6300,31.5747,84.8940,35.8186
946,Blue|Purple|Tan|Cold White,#003776|#6C47B2|#A79E82|#D9DFE5,38.3077,37.0480,36.1865,34.5894,31.4144,84.8786,35.8187
947,Blue|Purple|Grey|Tan,#003776|#6C47B2|#8C9099|#A79E82,38.3094,37.0508,36.1890,34.5907,31.4142,84.8786,35.8207
948,Blue|Dark Olive Drab|Purple|Grey,#003776|#575B54|#6C47B2|#8C9099,41.9527,37.5023,36.0153,34.1405,30.9385,93.1611,35.8214
949,Green|Dark Olive Drab|Purple|White,#06924D|#575B54|#6C47B2|#EBF7FF,40.5396,36.8876,35.9916,34.7675,32.2525,95.8582,35.8275
950,Green|Purple|Olive Green|Yellow,#06924D|#6C47B2|#948902|#FFE800,41.4953,36.8148,35.7678,34.8745,33.3768,93.3657,35.8446
951,Purple|Grey|Tan|Cold White,#6C47B2|#8C9099|#A79E82|#D9DFE5,38.2132,37.0641,36.2320,34.6550,31.4879,84.8637,35.8596
952,Dark Olive Drab|Purple|Grey|Cold White,#575B54|#6C47B2|#8C9099|#D9DFE5,41.9640,37.5331,36.0555,34.1875,30.9866,93.1776,35.8603
953,Azure Blue|Green|Lime Green|Orange,#0066D9|#06924D|#D5D701|#F67405,38.6489,36.5649,35.9065,35.1588,33.7047,57.9365,35.8618
954,Blue|Green|Purple|Pink,#003776|#06924D|#6C47B2|#F1A1AF,38.2968,36.7475,36.1664,34.9873,32.2172,82.3247,35.8674
955,Blue|Green|Lime Green|Magenta,#003776|#06924D|#D5D701|#F24574,41.1468,36.4710,35.6628,35.3237,34.8126,81.8574,35.8973
956,Green|Dark Grey|Purple|Olive Green,#06924D|#485259|#6C47B2|#948902,42.4432,37.0537,35.8936,34.7700,32.7019,89.8580,35.9119
957,Green|Purple|Grey|Olive Green,#06924D|#6C47B2|#8C9099|#948902,42.3771,37.0535,35.9145,34.8110,32.7496,89.0509,35.9322
958,Green|Dark Olive Drab|Purple|Olive Green,#06924D|#575B54|#6C47B2|#948902,42.4672,37.0769,35.9257,34.8105,32.7398,90.7270,35.9437
959,Green|Purple|Olive Green|Cold White,#06924D|#6C47B2|#948902|#D9DFE5,42.4747,37.0908,35.9337,34.8152,32.7507,90.7270,35.9530
960,Azure Blue|Purple|Grey|Yellow,#0066D9|#6C47B2|#8C9099|#FFE800,38.3225,36.9900,36.1966,34.9216,32.5068,89.0693,35.9558
961,Green|Polymaker Teal|Purple|Olive Green,#06924D|#4CC0C7|#6C47B2|#948902,42.5038,37.0931,35.9343,34.8185,32.7575,90.6296,35.9558
962,Azure Blue|Purple|Lime Green|Yellow,#0066D9|#6C47B2|#D5D701|#FFE800,38.3125,36.9891,36.1973,34.9229,32.5575,88.8574,35.9560
963,Azure Blue|Polymaker Teal|Magenta|Orange,#0066D9|#4CC0C7|#F24574|#F67405,39.2957,36.9802,36.1240,34.9323,32.9816,68.1428,35.9562
964,Green|Purple|Olive Green|Lime Green,#06924D|#6C47B2|#948902|#D5D701,41.9885,37.0118,35.8877,34.9082,33.4208,94.7407,35.9600
965,Blue|Purple|Grey|Pink,#003776|#6C47B2|#8C9099|#F1A1AF,38.8177,37.2629,36.3495,34.7719,31.7340,92.7842,36.0174
966,Dark Grey|Purple|Cold White|Pink,#485259|#6C47B2|#D9DFE5|#F1A1AF,40.3773,37.4672,36.2976,34.6290,31.5588,92.0806,36.0481
967,Blue|Dark Grey|Purple|Pink,#003776|#485259|#6C47B2|#F1A1AF,40.3672,37.4823,36.3218,34.6522,31.5678,92.1517,36.0672
968,Dark Grey|Purple|Grey|Pink,#485259|#6C47B2|#8C9099|#F1A1AF,40.3809,37.4897,36.3278,34.6600,31.5767,92.1517,36.0748
969,Blue|Green|Polymaker Teal|Purple,#003776|#06924D|#4CC0C7|#6C47B2,38.8288,37.1087,36.3386,35.1553,32.7901,112.8674,36.1320
970,Blue|Azure Blue|Olive Green|Magenta,#003776|#0066D9|#948902|#F24574,42.3351,37.4805,36.1781,34.8028,32.4970,77.3183,36.1417
971,Azure Blue|Polymaker Teal|Orange|Yellow,#0066D9|#4CC0C7|#F67405|#FFE800,39.1334,36.9865,36.2104,35.3020,33.8030,56.0040,36.1442
972,Azure Blue|Dark Grey|Orange|Yellow,#0066D9|#485259|#F67405|#FFE800,40.2844,37.3181,36.2118,34.9824,33.1688,56.0895,36.1503
973,Blue|Dark Grey|Purple|Olive Green,#003776|#485259|#6C47B2|#948902,43.3496,37.6360,36.1915,34.6684,32.1480,86.7263,36.1522
974,Blue|Dark Olive Drab|Purple|Olive Green,#003776|#575B54|#6C47B2|#948902,43.3734,37.6500,36.1906,34.6690,32.1516,86.7263,36.1595
975,Blue|Polymaker Teal|Purple|Olive Green,#003776|#4CC0C7|#6C47B2|#948902,43.2045,37.5742,36.2422,34.7953,32.3386,86.7263,36.1847
976,Blue|Purple|Olive Green|Cold White,#003776|#6C47B2|#948902|#D9DFE5,43.4387,37.6888,36.2187,34.6933,32.1683,86.7263,36.1910
977,Blue|Azure Blue|Green|Orange,#003776|#0066D9|#06924D|#F67405,39.2114,37.0253,36.3565,35.3615,33.3182,60.7380,36.1934
978,Dark Grey|Purple|Olive Green|Cold White,#485259|#6C47B2|#948902|#D9DFE5,43.3982,37.6655,36.2272,34.7354,32.2568,87.2479,36.2005
979,Dark Grey|Dark Olive Drab|Purple|Olive Green,#485259|#575B54|#6C47B2|#948902,43.3935,37.6656,36.2282,34.7358,32.2565,87.2479,36.2007
980,Azure Blue|Dark Grey|Purple|Tan,#0066D9|#485259|#6C47B2|#A79E82,40.3696,37.6598,36.5059,34.7448,31.5925,87.2141,36.2023
981,Dark Olive Drab|Purple|Tan|Pink,#575B54|#6C47B2|#A79E82|#F1A1AF,40.9685,37.5612,36.4274,34.8556,31.8060,86.2052,36.2084
982,Purple|Cold White|White|Pink,#6C47B2|#D9DFE5|#EBF7FF|#F1A1AF,38.7019,37.3118,36.5238,35.1084,32.3090,92.1942,36.2101
983,Blue|Green|Purple|Cold White,#003776|#06924D|#6C47B2|#D9DFE5,38.7445,37.1430,36.4274,35.2881,32.9368,109.3683,36.2155
984,Blue|Polymaker Teal|Purple|White,#003776|#4CC0C7|#6C47B2|#EBF7FF,38.6783,37.4436,36.6023,34.9903,31.9752,98.1449,36.2169
985,Dark Olive Drab|Purple|Olive Green|Cold White,#575B54|#6C47B2|#948902|#D9DFE5,43.3273,37.6855,36.2528,34.7673,32.2960,87.6083,36.2264
986,Azure Blue|Dark Grey|Lime Green|Orange,#0066D9|#485259|#D5D701|#F67405,40.3699,37.4169,36.3425,35.0939,33.1733,55.7789,36.2554
987,Azure Blue|Olive Green|Magenta|Orange,#0066D9|#948902|#F24574|#F67405,41.4309,37.4450,36.2810,35.0679,33.2435,71.9216,36.2565
988,Azure Blue|Grey|Orange|Yellow,#0066D9|#8C9099|#F67405|#FFE800,39.5928,37.2867,36.3548,35.2331,33.4711,59.9450,36.2599
989,Blue|Green|Magenta|Yellow,#003776|#06924D|#F24574|#FFE800,41.3754,36.7722,35.9993,35.7544,35.4589,92.2188,36.2633
990,Dark Grey|Polymaker Teal|Dark Olive Drab|Purple,#485259|#4CC0C7|#575B54|#6C47B2,42.3187,37.8765,36.4410,34.6620,31.7151,96.4037,36.2692
991,Green|Polymaker Teal|Purple|Cold White,#06924D|#4CC0C7|#6C47B2|#D9DFE5,38.8462,37.2557,36.5009,35.3134,32.9354,110.0219,36.2846
992,Azure Blue|Pink|Orange|Yellow,#0066D9|#F1A1AF|#F67405|#FFE800,39.6735,37.3529,36.3971,35.2365,33.4231,63.6920,36.2947
993,Dark Grey|Polymaker Teal|Purple|Olive Green,#485259|#4CC0C7|#6C47B2|#948902,43.3407,37.6781,36.3398,34.9155,32.4842,88.4676,36.2968
994,Blue|Purple|Grey|Olive Green,#003776|#6C47B2|#8C9099|#948902,43.3903,37.7555,36.3385,34.8454,32.3230,88.4901,36.3004
995,Blue|Purple|Tan|Pink,#003776|#6C47B2|#A79E82|#F1A1AF,38.7735,37.4063,36.6386,35.1950,32.1740,85.9206,36.3007
996,Green|Purple|Cold White|Pink,#06924D|#6C47B2|#D9DFE5|#F1A1AF,38.6696,37.1926,36.6156,35.4341,32.6613,82.4746,36.3134
997,Green|Purple|Grey|Pink,#06924D|#6C47B2|#8C9099|#F1A1AF,38.6560,37.1916,36.6192,35.4362,32.6598,82.4746,36.3139
998,Green|Polymaker Teal|Purple|Pink,#06924D|#4CC0C7|#6C47B2|#F1A1AF,38.6737,37.2025,36.6259,35.4429,32.6694,82.4746,36.3227
999,Azure Blue|Cold White|Orange|Yellow,#0066D9|#D9DFE5|#F67405|#FFE800,39.6791,37.3713,36.4251,35.2778,33.4741,63.8617,36.3246
1000,Azure Blue|Purple|Olive Green|Magenta,#0066D9|#6C47B2|#948902|#F24574,42.9422,37.7039,36.3515,34.9560,32.6747,79.4123,36.3300
1001,Dark Grey|Purple|Grey|Olive Green,#485259|#6C47B2|#8C9099|#948902,43.4042,37.7725,36.3595,34.8940,32.3961,88.9593,36.3332
1002,Azure Blue|Green|Dark Grey|Magenta,#0066D9|#06924D|#485259|#F24574,41.9193,37.4840,36.3302,35.1926,33.1298,87.4896,36.3383
1003,Polymaker Teal|Purple|Grey|Olive Green,#4CC0C7|#6C47B2|#8C9099|#948902,43.3311,37.7104,36.3861,34.9819,32.5567,88.9797,36.3461
1004,Polymaker Teal|Dark Olive Drab|Purple|Olive Green,#4CC0C7|#575B54|#6C47B2|#948902,43.3850,37.7173,36.3886,34.9840,32.5682,89.9740,36.3507
1005,Blue|Polymaker Teal|Dark Olive Drab|Purple,#003776|#4CC0C7|#575B54|#6C47B2,42.3831,37.9773,36.5310,34.7255,31.7512,97.5646,36.3514
1006,Blue|Purple|Olive Green|Lime Green,#003776|#6C47B2|#948902|#D5D701,43.2447,37.7416,36.3340,34.9685,33.0122,94.7437,36.3550
1007,Polymaker Teal|Dark Olive Drab|Purple|Cold White,#4CC0C7|#575B54|#6C47B2|#D9DFE5,42.4006,37.9802,36.5349,34.7306,31.7481,97.6454,36.3554
1008,Polymaker Teal|Purple|Olive Green|Cold White,#4CC0C7|#6C47B2|#948902|#D9DFE5,43.3828,37.7206,36.3944,34.9909,32.5745,89.9740,36.3557
1009,Azure Blue|Purple|Cold White|Magenta,#0066D9|#6C47B2|#D9DFE5|#F24574,39.4629,37.1876,36.5450,35.5305,33.4749,101.6294,36.3591
1010,Dark Olive Drab|Purple|Grey|Olive Green,#575B54|#6C47B2|#8C9099|#948902,43.4000,37.8101,36.4068,34.9342,32.4174,88.9593,36.3722
1011,Azure Blue|Lime Green|Orange|Yellow,#0066D9|#D5D701|#F67405|#FFE800,39.7091,37.4168,36.4792,35.3353,33.5392,61.7707,36.3760
1012,Black|Purple|Olive Green|Tan,#080A0D|#6C47B2|#948902|#A79E82,44.0540,37.8384,36.4506,34.9166,32.1775,89.7722,36.3775
1013,Blue|Dark Grey|Lime Green|Magenta,#003776|#485259|#D5D701|#F24574,42.4823,37.3126,36.1883,35.4448,34.6304,81.6527,36.3787
1014,Blue|Dark Olive Drab|Lime Green|Magenta,#003776|#575B54|#D5D701|#F24574,42.5049,37.3148,36.1822,35.4482,34.6685,81.6724,36.3815
1015,Azure Blue|Brown|Tan|Magenta,#0066D9|#55331A|#A79E82|#F24574,45.4460,37.9882,36.2552,34.7748,32.6711,103.4489,36.3815
1016,Azure Blue|Pink|Magenta|Yellow,#0066D9|#F1A1AF|#F24574|#FFE800,39.7722,37.3594,36.4888,35.4108,33.6337,64.6968,36.3851
1017,Dark Grey|Purple|Olive Green|Yellow,#485259|#6C47B2|#948902|#FFE800,42.7568,37.6659,36.3553,35.1108,33.1107,93.3006,36.3883
1018,Green|Purple|White|Pink,#06924D|#6C47B2|#EBF7FF|#F1A1AF,38.7037,37.2553,36.6963,35.5276,32.7677,82.6522,36.3915
1019,Dark Grey|Purple|Olive Green|Lime Green,#485259|#6C47B2|#948902|#D5D701,43.1400,37.7305,36.3631,35.0572,33.1440,94.7314,36.3939
1020,Purple|Grey|Olive Green|Cold White,#6C47B2|#8C9099|#948902|#D9DFE5,43.3839,37.8317,36.4428,34.9747,32.4511,88.9593,36.4032
1021,Blue|Polymaker Teal|Lime Green|Magenta,#003776|#4CC0C7|#D5D701|#F24574,42.4781,37.3983,36.2834,35.4247,34.4233,81.7685,36.4115
1022,Blue|Dark Grey|Dark Olive Drab|Purple,#003776|#485259|#575B54|#6C47B2,42.4152,37.9867,36.5475,34.8369,32.0373,102.3075,36.4118
1023,Blue|Olive Green|Lime Green|Magenta,#003776|#948902|#D5D701|#F24574,42.5476,37.3517,36.2140,35.4744,34.6813,82.1517,36.4131
1024,Azure Blue|Grey|Lime Green|Orange,#0066D9|#8C9099|#D5D701|#F67405,39.7534,37.4528,36.5327,35.3795,33.4981,58.6122,36.4161
1025,Dark Olive Drab|Purple|Olive Green|Yellow,#575B54|#6C47B2|#948902|#FFE800,42.7466,37.6872,36.3976,35.1654,33.1555,93.2699,36.4263
1026,Azure Blue|Lime Green|Pink|Orange,#0066D9|#D5D701|#F1A1AF|#F67405,39.7678,37.4666,36.5462,35.3908,33.5091,59.0100,36.4287
1027,Blue|Grey|Lime Green|Magenta,#003776|#8C9099|#D5D701|#F24574,42.5771,37.3830,36.2425,35.4763,34.6343,82.1051,36.4297
1028,Azure Blue|Black|Purple|Cold White,#0066D9|#080A0D|#6C47B2|#D9DFE5,46.9149,38.2789,36.5573,34.5808,31.4871,112.5487,36.4299
1029,Blue|Lime Green|Cold White|Magenta,#003776|#D5D701|#D9DFE5|#F24574,42.5712,37.3767,36.2353,35.4844,34.6890,82.1879,36.4305
1030,Blue|Brown|Lime Green|Magenta,#003776|#55331A|#D5D701|#F24574,42.5836,37.3815,36.2395,35.4884,34.6993,82.2125,36.4350
1031,Dark Grey|Polymaker Teal|Purple|White,#485259|#4CC0C7|#6C47B2|#EBF7FF,41.3217,37.9335,36.7084,34.9467,31.7718,96.8527,36.4401
1032,Green|Purple|Olive Green|Tan,#06924D|#6C47B2|#948902|#A79E82,42.6412,37.5704,36.4756,35.3169,33.0252,90.3220,36.4436
1033,Azure Blue|Lime Green|Cold White|Orange,#0066D9|#D5D701|#D9DFE5|#F67405,39.7796,37.4808,36.5614,35.4074,33.5259,59.1499,36.4441
1034,Blue|Tan|Lime Green|Magenta,#003776|#A79E82|#D5D701|#F24574,42.5891,37.4255,36.2830,35.4766,34.5757,81.9140,36.4510
1035,Blue|Black|Lime Green|Magenta,#003776|#080A0D|#D5D701|#F24574,42.6038,37.2710,36.1992,35.6318,34.9660,82.1496,36.4514
1036,Blue|Lime Green|Pink|Magenta,#003776|#D5D701|#F1A1AF|#F24574,42.5821,37.3986,36.2605,35.5051,34.6919,82.2203,36.4519
1037,Azure Blue|Polymaker Teal|Lime Green|Orange,#0066D9|#4CC0C7|#D5D701|#F67405,39.4741,37.3182,36.5440,35.5938,33.9615,56.1319,36.4560
1038,Dark Olive Drab|Purple|Olive Green|Lime Green,#575B54|#6C47B2|#948902|#D5D701,43.2053,37.8061,36.4301,35.1114,33.1873,94.8752,36.4588
1039,Azure Blue|Green|Dark Grey|Purple,#0066D9|#06924D|#485259|#6C47B2,40.2023,37.4255,36.6336,35.5229,33.3564,108.3158,36.4742
1040,Azure Blue|White|Orange|Yellow,#0066D9|#EBF7FF|#F67405|#FFE800,39.7289,37.4819,36.5734,35.4692,33.7134,64.5412,36.4755
1041,Blue|Dark Grey|Purple|White,#003776|#485259|#6C47B2|#EBF7FF,41.4143,38.0271,36.7762,34.9450,31.6398,97.0791,36.4860
1042,Blue|Green|Red|Yellow,#003776|#06924D|#E72F1D|#FFE800,41.9750,37.1091,36.1683,35.8653,36.0563,95.3528,36.4872
1043,Green|Purple|Tan|Pink,#06924D|#6C47B2|#A79E82|#F1A1AF,38.6979,37.3478,36.8008,35.6415,32.8807,82.0408,36.4946
1044,Dark Grey|Purple|Grey|White,#485259|#6C47B2|#8C9099|#EBF7FF,41.4191,38.0363,36.7867,34.9555,31.6450,97.0791,36.4959
1045,Dark Grey|Purple|Cold White|White,#485259|#6C47B2|#D9DFE5|#EBF7FF,41.3782,38.0265,36.7855,34.9684,31.7036,97.0791,36.4974
1046,Azure Blue|Tan|Lime Green|Orange,#0066D9|#A79E82|#D5D701|#F67405,39.8530,37.5524,36.6275,35.4684,33.5918,59.0166,36.5104
1047,Blue|Azure Blue|Purple|White,#003776|#0066D9|#6C47B2|#EBF7FF,39.1619,37.7932,36.9001,35.2345,32.2434,99.7243,36.5139
1048,Azure Blue|Tan|Orange|Yellow,#0066D9|#A79E82|#F67405|#FFE800,39.8737,37.5729,36.6214,35.4710,33.6755,62.5246,36.5220
1049,Polymaker Teal|Purple|Grey|Pink,#4CC0C7|#6C47B2|#8C9099|#F1A1AF,38.9506,37.6717,36.8682,35.3783,32.4262,90.6866,36.5250
1050,Blue|Purple|Olive Green|Yellow,#003776|#6C47B2|#948902|#FFE800,43.1168,37.8788,36.5106,35.1806,33.0671,93.3674,36.5297
1051,Dark Grey|Purple|Tan|White,#485259|#6C47B2|#A79E82|#EBF7FF,40.5215,37.9401,36.8631,35.1412,31.8529,92.2947,36.5406
1052,Azure Blue|Green|Brown|Orange,#0066D9|#06924D|#55331A|#F67405,42.0257,37.5155,36.6265,35.5896,33.5717,60.9265,36.5526
1053,Azure Blue|White|Magenta|Yellow,#0066D9|#EBF7FF|#F24574|#FFE800,39.8413,37.5046,36.6806,35.6484,33.9167,65.1708,36.5765
1054,Blue|Azure Blue|Brown|Magenta,#003776|#0066D9|#55331A|#F24574,44.8014,38.1388,36.4606,35.0268,33.0522,108.9610,36.5828
1055,Azure Blue|Olive Green|Magenta|Yellow,#0066D9|#948902|#F24574|#FFE800,42.4963,37.8796,36.5701,35.2901,33.4777,74.7322,36.5848
1056,Dark Olive Drab|Purple|White|Pink,#575B54|#6C47B2|#EBF7FF|#F1A1AF,41.5201,38.0238,36.8095,35.1613,32.1011,89.0897,36.5925
1057,Azure Blue|Lime Green|White|Orange,#0066D9|#D5D701|#EBF7FF|#F67405,39.8349,37.6019,36.7192,35.6055,33.7713,59.8660,36.6037
1058,Azure Blue|Polymaker Teal|Purple|Pink,#0066D9|#4CC0C7|#6C47B2|#F1A1AF,38.9704,37.7499,36.9361,35.4684,32.6488,90.3938,36.6092
1059,Azure Blue|Dark Olive Drab|Orange|Yellow,#0066D9|#575B54|#F67405|#FFE800,40.9144,37.8221,36.6866,35.4361,33.5956,57.1590,36.6291
1060,Polymaker Teal|Dark Olive Drab|Purple|Pink,#4CC0C7|#575B54|#6C47B2|#F1A1AF,41.5568,38.0484,36.8343,35.2122,32.2002,90.4732,36.6303
1061,Blue|Green|Purple|Grey,#003776|#06924D|#6C47B2|#8C9099,38.6208,37.4477,36.8731,35.8247,33.5244,104.7954,36.6362
1062,Black|Purple|Olive Green|Pink,#080A0D|#6C47B2|#948902|#F1A1AF,43.9729,38.0514,36.7911,35.3017,32.5271,81.3541,36.6765
1063,Azure Blue|Dark Olive Drab|Lime Green|Orange,#0066D9|#575B54|#D5D701|#F67405,40.9872,37.8872,36.7886,35.5379,33.6162,56.9574,36.7126
1064,Polymaker Teal|Purple|Olive Green|Lime Green,#4CC0C7|#6C47B2|#948902|#D5D701,43.3872,38.0528,36.7442,35.4234,33.4443,94.7407,36.7381
1065,Purple|Olive Green|Lime Green|Yellow,#6C47B2|#948902|#D5D701|#FFE800,43.3352,38.1302,36.7629,35.4045,33.2579,93.5805,36.7674
1066,Polymaker Teal|Purple|Olive Green|Yellow,#4CC0C7|#6C47B2|#948902|#FFE800,43.1279,38.0506,36.7763,35.4941,33.4519,93.3534,36.7724
1067,Green|Purple|Grey|Cold White,#06924D|#6C47B2|#8C9099|#D9DFE5,38.6347,37.5880,37.0264,35.9587,33.6279,104.8806,36.7733
1068,Green|Polymaker Teal|Purple|Grey,#06924D|#4CC0C7|#6C47B2|#8C9099,38.6918,37.6152,37.0358,35.9619,33.6457,104.8806,36.7885
1069,Azure Blue|Polymaker Teal|Brown|Magenta,#0066D9|#4CC0C7|#55331A|#F24574,45.9719,38.4450,36.6684,35.1396,33.0073,106.6477,36.7923
1070,Azure Blue|Polymaker Teal|Magenta|Yellow,#0066D9|#4CC0C7|#F24574|#FFE800,39.8186,37.6004,36.8796,35.9877,34.4456,62.3599,36.7941
1071,Purple|Grey|Olive Green|Lime Green,#6C47B2|#8C9099|#948902|#D5D701,43.5662,38.2061,36.8193,35.4050,33.2633,95.0848,36.8055
1072,Blue|Dark Olive Drab|Purple|Pink,#003776|#575B54|#6C47B2|#F1A1AF,41.6254,38.2397,37.0362,35.3969,32.3328,90.8725,36.8183
1073,Purple|Grey|White|Pink,#6C47B2|#8C9099|#EBF7FF|#F1A1AF,39.2252,37.9577,37.1608,35.6861,32.7597,90.7306,36.8219
1074,Purple|Grey|Olive Green|Yellow,#6C47B2|#8C9099|#948902|#FFE800,43.2998,38.1916,36.8452,35.4750,33.2769,93.7855,36.8333
1075,Blue|Red|Magenta|Yellow,#003776|#E72F1D|#F24574|#FFE800,43.2450,37.8218,36.5425,35.8462,35.6302,94.4051,36.8340
1076,Azure Blue|Green|Purple|Tan,#0066D9|#06924D|#6C47B2|#A79E82,38.4170,37.5766,37.1183,36.1059,33.8063,87.0339,36.8412
1077,Dark Grey|Dark Olive Drab|Purple|Pink,#485259|#575B54|#6C47B2|#F1A1AF,41.6698,38.2676,37.0597,35.4187,32.3535,90.8744,36.8431
1078,Blue|Green|Lime Green|Red,#003776|#06924D|#D5D701|#E72F1D,42.4055,37.4942,36.5561,36.2029,36.0367,95.1281,36.8486
1079,Green|Purple|Tan|White,#06924D|#6C47B2|#A79E82|#EBF7FF,38.3215,37.5959,37.1733,36.1017,33.5370,91.7765,36.8488
1080,Azure Blue|Dark Olive Drab|Purple|Tan,#0066D9|#575B54|#6C47B2|#A79E82,42.1601,38.4139,37.0975,35.2999,32.1673,88.0046,36.8569
1081,Dark Olive Drab|Purple|Cold White|Pink,#575B54|#6C47B2|#D9DFE5|#F1A1AF,41.6821,38.2855,37.0800,35.4395,32.3723,90.8847,36.8625
1082,Dark Olive Drab|Purple|Grey|Pink,#575B54|#6C47B2|#8C9099|#F1A1AF,41.6896,38.2905,37.0830,35.4409,32.3723,90.8847,36.8657
1083,Azure Blue|Dark Grey|Purple|Magenta,#0066D9|#485259|#6C47B2|#F24574,43.0988,38.3564,36.8073,35.4000,33.4632,111.1429,36.8782
1084,Azure Blue|Lime Green|Magenta|Yellow,#0066D9|#D5D701|#F24574|#FFE800,40.2979,37.8683,36.9930,35.9109,34.1401,64.2083,36.8896
1085,Azure Blue|Green|Dark Olive Drab|Magenta,#0066D9|#06924D|#575B54|#F24574,42.8227,38.0696,36.8832,35.7274,33.6300,87.1744,36.8985
1086,Azure Blue|Brown|Pink|Magenta,#0066D9|#55331A|#F1A1AF|#F24574,45.9313,38.5401,36.7656,35.2600,33.1940,104.6417,36.9001
1087,Polymaker Teal|Purple|Tan|Pink,#4CC0C7|#6C47B2|#A79E82|#F1A1AF,39.2015,37.9899,37.2496,35.8219,32.8405,85.9222,36.9059
1088,Purple|Olive Green|Cold White|Yellow,#6C47B2|#948902|#D9DFE5|#FFE800,43.3754,38.2464,36.9191,35.5769,33.3989,93.5409,36.9116
1089,Blue|Lime Green|Magenta|Yellow,#003776|#D5D701|#F24574|#FFE800,43.0094,37.8332,36.6946,35.9912,35.2429,92.3283,36.9122
1090,Purple|Olive Green|Lime Green|Cold White,#6C47B2|#948902|#D5D701|#D9DFE5,43.7722,38.3239,36.9335,35.5135,33.3213,95.0517,36.9187
