rank,labels,hexes,sigma0,sigma2,sigma4,sigma8,sigma16,p99_sigma2,rank_key
2086,Polymaker Teal|Dark Olive Drab|Olive Green|Yellow,#4CC0C7|#575B54|#948902|#FFE800,20.1750,15.5841,14.7350,14.2326,13.9449,27.5675,14.9083
2087,Purple|Grey|Olive Green|Red,#6C47B2|#8C9099|#948902|#E72F1D,34.5587,17.4593,14.3068,12.3584,11.0545,43.0291,14.9089
2088,Azure Blue|Dark Olive Drab|Grey|Yellow,#0066D9|#575B54|#8C9099|#FFE800,22.3144,16.0719,14.6709,13.7477,13.1314,30.9898,14.9098
2089,Blue|Green|Brown|Lime Green,#003776|#06924D|#55331A|#D5D701,27.0023,16.7362,14.2865,13.0922,12.7822,36.8428,14.9142
2090,Polymaker Teal|Dark Olive Drab|Lime Green|Yellow,#4CC0C7|#575B54|#D5D701|#FFE800,19.8291,15.5536,14.7573,14.2749,13.9943,27.4330,14.9142
2091,Green|Polymaker Teal|Dark Olive Drab|Yellow,#06924D|#4CC0C7|#575B54|#FFE800,19.8249,15.5540,14.7587,14.2762,13.9949,27.4685,14.9151
2092,Polymaker Teal|Brown|Purple|Lime Green,#4CC0C7|#55331A|#6C47B2|#D5D701,25.6260,16.6327,14.2791,13.2073,12.9736,34.6488,14.9200
2093,Blue|Tan|Pink|Yellow,#003776|#A79E82|#F1A1AF|#FFE800,24.7929,16.1906,14.6806,13.6553,12.8685,32.5509,14.9230
2094,Polymaker Teal|Dark Olive Drab|Cold White|Magenta,#4CC0C7|#575B54|#D9DFE5|#F24574,22.3454,15.9228,14.6314,13.9318,13.6033,31.7969,14.9273
2095,Blue|Polymaker Teal|Brown|Lime Green,#003776|#4CC0C7|#55331A|#D5D701,25.9187,16.4472,14.3085,13.4084,13.2960,31.2750,14.9278
2096,Blue|Purple|Olive Green|Tan,#003776|#6C47B2|#948902|#A79E82,37.2344,17.5809,14.1368,12.2841,11.2178,43.1976,14.9325
2097,Dark Olive Drab|Olive Green|Lime Green|Yellow,#575B54|#948902|#D5D701|#FFE800,20.6767,15.7872,14.7936,14.0839,13.5470,39.2561,14.9356
2098,Polymaker Teal|Brown|Grey|Magenta,#4CC0C7|#55331A|#8C9099|#F24574,22.8350,15.7686,14.5655,14.1037,14.0339,33.0086,14.9361
2099,Blue|Green|Brown|Red,#003776|#06924D|#55331A|#E72F1D,27.5715,16.8041,14.2789,13.0717,12.7532,41.5235,14.9379
2100,Black|Dark Grey|Polymaker Teal|Yellow,#080A0D|#485259|#4CC0C7|#FFE800,23.5585,15.7049,14.5793,14.1774,14.1338,28.0574,14.9412
2101,Green|Dark Olive Drab|Lime Green|Yellow,#06924D|#575B54|#D5D701|#FFE800,20.3997,15.7624,14.8142,14.1207,13.5910,39.5022,14.9415
2102,Blue|Black|Olive Green|Orange,#003776|#080A0D|#948902|#F67405,33.9987,17.6618,13.9727,12.2257,11.7543,59.8407,14.9438
2103,Dark Olive Drab|Grey|Cold White|Magenta,#575B54|#8C9099|#D9DFE5|#F24574,21.5842,15.7907,14.6996,14.1105,13.8331,31.0375,14.9506
2104,Green|Dark Olive Drab|Olive Green|Yellow,#06924D|#575B54|#948902|#FFE800,20.6757,15.8009,14.8094,14.1033,13.5734,39.5558,14.9521
2105,Dark Olive Drab|Purple|Tan|Yellow,#575B54|#6C47B2|#A79E82|#FFE800,21.9838,16.2239,14.7805,13.6907,12.8452,41.7322,14.9573
2106,Grey|Olive Green|Cold White|Magenta,#8C9099|#948902|#D9DFE5|#F24574,30.9924,16.9771,14.5282,12.9664,11.8382,39.5622,14.9718
2107,Dark Grey|Grey|Olive Green|Lime Green,#485259|#8C9099|#948902|#D5D701,24.7677,16.1176,14.6512,13.8516,13.3588,28.1401,14.9846
2108,Blue|Lime Green|White|Magenta,#003776|#D5D701|#EBF7FF|#F24574,28.7963,16.6777,14.5189,13.2918,12.5885,34.2358,14.9848
