rank,labels,hexes,sigma0,sigma2,sigma4,sigma8,sigma16,p99_sigma2,rank_key
75,Dark Olive Drab|Pink|Yellow,#575B54|#F1A1AF|#FFE800,17.5138,9.9966,8.3460,7.2727,6.5510,22.6448,8.6346
76,Brown|Lime Green|Yellow,#55331A|#D5D701|#FFE800,19.8613,10.1917,8.1854,7.0969,6.4798,22.0548,8.6443
77,Green|Brown|Yellow,#06924D|#55331A|#FFE800,19.9511,10.2256,8.1763,7.0675,6.4699,22.2028,8.6465
78,Brown|Olive Green|Yellow,#55331A|#948902|#FFE800,20.0207,10.2431,8.2113,7.1054,6.4774,22.3857,8.6742
79,Black|Olive Green|Magenta,#080A0D|#948902|#F24574,31.3790,11.8381,7.7264,5.5108,4.7366,31.4403,8.6745
80,Dark Grey|Tan|Red,#485259|#A79E82|#E72F1D,17.0283,9.9080,8.4473,7.5578,7.0423,21.9787,8.7329
81,Azure Blue|Brown|Yellow,#0066D9|#55331A|#FFE800,20.4667,10.5275,8.2747,7.0075,6.3687,24.6222,8.7675
82,Brown|Purple|Yellow,#55331A|#6C47B2|#FFE800,20.5684,10.6085,8.3077,6.9362,6.1564,29.6660,8.7723
83,Black|Magenta|Yellow,#080A0D|#F24574|#FFE800,28.9380,11.1896,7.9950,6.3859,5.7495,27.0278,8.7877
84,Brown|Cold White|Orange,#55331A|#D9DFE5|#F67405,18.9968,10.1912,8.4042,7.4056,6.9188,21.9939,8.7984
85,Brown|Purple|Orange,#55331A|#6C47B2|#F67405,18.9575,10.1384,8.3803,7.4594,7.0559,21.4036,8.7989
86,Brown|Magenta|Orange,#55331A|#F24574|#F67405,18.9055,10.1496,8.4035,7.4527,7.0012,20.8132,8.8012
87,Dark Olive Drab|Grey|Orange,#575B54|#8C9099|#F67405,16.4903,9.8981,8.5912,7.7380,7.1616,23.1363,8.8181
88,Polymaker Teal|Brown|Orange,#4CC0C7|#55331A|#F67405,19.5610,10.4552,8.3916,7.1990,6.6446,24.2447,8.8271
89,Polymaker Teal|Dark Olive Drab|Orange,#4CC0C7|#575B54|#F67405,16.5227,9.9117,8.5923,7.7452,7.1722,23.4029,8.8285
90,Dark Olive Drab|Red|Orange,#575B54|#E72F1D|#F67405,16.7385,9.9393,8.5859,7.7228,7.1646,22.9559,8.8310
