rank,labels,hexes,sigma0,sigma2,sigma4,sigma8,sigma16,p99_sigma2,rank_key
219,Dark Grey|Tan|Pink,#485259|#A79E82|#F1A1AF,17.7120,13.3087,12.4717,11.8937,11.4667,24.2159,12.6012
220,Dark Olive Drab|Tan|Lime Green,#575B54|#A79E82|#D5D701,16.7526,13.2128,12.5247,12.0510,11.7181,23.2705,12.6319
221,Dark Olive Drab|Tan|Cold White,#575B54|#A79E82|#D9DFE5,15.8733,13.1489,12.5777,12.1191,11.7358,23.2588,12.6340
222,Polymaker Teal|Dark Olive Drab|Tan,#4CC0C7|#575B54|#A79E82,15.8758,13.1511,12.5784,12.1171,11.7324,23.2634,12.6341
223,Dark Olive Drab|Grey|Tan,#575B54|#8C9099|#A79E82,15.8691,13.1538,12.5857,12.1288,11.7470,23.2679,12.6413
224,Black|Dark Grey|Yellow,#080A0D|#485259|#FFE800,26.4484,13.9539,12.1878,11.4051,11.1176,25.5184,12.6795
225,Green|Dark Olive Drab|Tan,#06924D|#575B54|#A79E82,15.9586,13.2060,12.6309,12.1708,11.7886,23.4241,12.6884
226,Dark Grey|Dark Olive Drab|Tan,#485259|#575B54|#A79E82,16.1576,13.2779,12.7077,12.2672,11.9048,23.1077,12.7726
227,Green|Black|Brown,#06924D|#080A0D|#55331A,21.1792,13.5819,12.3835,12.0197,12.0861,30.2980,12.8008
228,Brown|Dark Olive Drab|Magenta,#55331A|#575B54|#F24574,20.4216,13.6938,12.5289,12.0090,11.9299,30.7406,12.8514
229,Dark Grey|Olive Green|Tan,#485259|#948902|#A79E82,21.0436,13.8423,12.6248,11.8717,11.3458,26.7819,12.8570
230,Azure Blue|Black|Yellow,#0066D9|#080A0D|#FFE800,30.6033,14.7867,12.2337,10.9679,10.4635,31.3789,12.8773
231,Green|Brown|Cold White,#06924D|#55331A|#D9DFE5,21.3719,13.8968,12.5752,11.8928,11.6184,30.4994,12.8948
232,Green|Polymaker Teal|Brown,#06924D|#4CC0C7|#55331A,21.4182,13.9099,12.5770,11.9205,11.7071,30.3941,12.9152
233,Black|Brown|Cold White,#080A0D|#55331A|#D9DFE5,20.9145,13.6734,12.6080,12.2889,12.3602,30.9917,12.9811
234,Azure Blue|Black|Brown,#0066D9|#080A0D|#55331A,20.9039,13.6671,12.6130,12.3055,12.3822,30.9400,12.9863
235,Black|Brown|Purple,#080A0D|#55331A|#6C47B2,20.9062,13.6757,12.6235,12.3103,12.3833,30.9400,12.9930
236,Green|Dark Grey|Brown,#06924D|#485259|#55331A,20.8835,13.7299,12.6378,12.2588,12.3043,30.2664,12.9943
237,Black|Polymaker Teal|Brown,#080A0D|#4CC0C7|#55331A,20.9376,13.7056,12.6273,12.2938,12.3725,30.9585,12.9997
238,Blue|Green|Red,#003776|#06924D|#E72F1D,27.9166,14.9406,12.4825,11.0599,10.2453,32.5990,13.0002
239,Dark Olive Drab|Grey|Yellow,#575B54|#8C9099|#FFE800,18.8106,13.8007,12.8296,12.2087,11.8316,23.7375,13.0047
240,Blue|Black|Brown,#003776|#080A0D|#55331A,20.9101,13.6890,12.6382,12.3251,12.3967,30.9437,13.0070
241,Blue|Green|Brown,#003776|#06924D|#55331A,21.7157,14.0006,12.6193,12.0312,11.9420,30.5013,13.0159
242,Azure Blue|Green|Brown,#0066D9|#06924D|#55331A,21.6917,14.0509,12.6578,12.0103,11.8659,30.5326,13.0306
243,Green|Brown|Dark Olive Drab,#06924D|#55331A|#575B54,20.0228,13.6811,12.7720,12.4133,12.4154,30.2601,13.0472
244,Azure Blue|Dark Olive Drab|Tan,#0066D9|#575B54|#A79E82,16.3765,13.5965,12.9871,12.5078,12.1231,25.4807,13.0522
245,Green|Brown|Grey,#06924D|#55331A|#8C9099,21.2677,13.9807,12.7462,12.1271,11.8991,30.4272,13.0539
246,Brown|Purple|Cold White,#55331A|#6C47B2|#D9DFE5,21.0550,13.9451,12.7481,12.1764,11.9899,31.0620,13.0608
247,Black|Brown|Dark Olive Drab,#080A0D|#55331A|#575B54,19.6902,13.5297,12.7629,12.6046,12.7412,30.6253,13.0671
248,Dark Olive Drab|Cold White|Yellow,#575B54|#D9DFE5|#FFE800,19.0648,13.8944,12.8829,12.2412,11.8451,23.8647,13.0678
249,Black|Dark Grey|Brown,#080A0D|#485259|#55331A,20.4617,13.6286,12.7142,12.5203,12.6548,30.8391,13.0745
250,Green|Dark Olive Drab|Yellow,#06924D|#575B54|#FFE800,19.0802,13.9022,12.8904,12.2469,11.8481,23.8305,13.0745
251,Black|Brown|Grey,#080A0D|#55331A|#8C9099,20.7599,13.7112,12.6991,12.4520,12.5878,30.8531,13.0816
252,Polymaker Teal|Dark Olive Drab|Yellow,#4CC0C7|#575B54|#FFE800,19.0902,13.9184,12.9085,12.2647,11.8653,23.9109,13.0915
253,Brown|Dark Olive Drab|Cold White,#55331A|#575B54|#D9DFE5,19.9525,13.7116,12.8215,12.4725,12.4716,30.5631,13.0920
254,Green|Brown|Purple,#06924D|#55331A|#6C47B2,21.8491,14.2177,12.7573,12.0122,11.8034,30.8418,13.1149
255,Dark Grey|Brown|Cold White,#485259|#55331A|#D9DFE5,20.7022,13.7798,12.7752,12.4542,12.5177,30.8809,13.1170
256,Dark Grey|Brown|Dark Olive Drab,#485259|#55331A|#575B54,19.9191,13.6796,12.8354,12.5644,12.6333,30.6404,13.1220
257,Polymaker Teal|Brown|Dark Olive Drab,#4CC0C7|#55331A|#575B54,19.9239,13.7298,12.8570,12.5191,12.5233,30.6393,13.1244
258,Polymaker Teal|Brown|Cold White,#4CC0C7|#55331A|#D9DFE5,21.2082,14.0605,12.8066,12.1988,12.0282,31.1265,13.1296
259,Dark Olive Drab|Olive Green|Yellow,#575B54|#948902|#FFE800,20.5768,14.0983,12.8920,12.1636,11.7303,25.7153,13.1310
260,Blue|Brown|Cold White,#003776|#55331A|#D9DFE5,21.1889,13.9388,12.7792,12.3255,12.2814,30.9366,13.1322
261,Dark Grey|Brown|Purple,#485259|#55331A|#6C47B2,20.6766,13.7843,12.8023,12.4928,12.5611,30.8590,13.1385
262,Blue|Polymaker Teal|Brown,#003776|#4CC0C7|#55331A,21.2596,13.9583,12.7745,12.3202,12.2833,30.9168,13.1392
263,Dark Grey|Polymaker Teal|Brown,#485259|#4CC0C7|#55331A,20.6833,13.7872,12.8028,12.4938,12.5647,30.8590,13.1405
264,Polymaker Teal|Brown|Purple,#4CC0C7|#55331A|#6C47B2,21.2270,14.0684,12.8265,12.2399,12.0879,31.1327,13.1541
265,Azure Blue|Dark Grey|Brown,#0066D9|#485259|#55331A,20.6895,13.7989,12.8181,12.5116,12.5748,30.8806,13.1552
266,Azure Blue|Brown|Cold White,#0066D9|#55331A|#D9DFE5,21.1866,13.9892,12.8182,12.3230,12.1997,30.8833,13.1561
267,Blue|Brown|Purple,#003776|#55331A|#6C47B2,21.1553,13.9416,12.8068,12.3746,12.3375,30.9095,13.1581
268,Blue|Azure Blue|Brown,#003776|#0066D9|#55331A,21.1575,13.9416,12.8081,12.3764,12.3373,30.9183,13.1590
269,Black|Dark Olive Drab|Olive Green,#080A0D|#575B54|#948902,25.5900,14.3908,12.7127,11.9435,11.6207,30.8432,13.1671
270,Dark Grey|Dark Olive Drab|Yellow,#485259|#575B54|#FFE800,19.5088,14.0222,12.9745,12.3306,11.9398,24.0618,13.1764
271,Blue|Dark Grey|Brown,#003776|#485259|#55331A,20.7269,13.8178,12.8321,12.5374,12.6115,30.8750,13.1776
272,Polymaker Teal|Brown|Grey,#4CC0C7|#55331A|#8C9099,21.0631,14.0363,12.8557,12.3207,12.2061,31.1675,13.1785
273,Azure Blue|Polymaker Teal|Brown,#0066D9|#4CC0C7|#55331A,21.2526,14.0448,12.8279,12.3174,12.2307,30.9957,13.1811
274,Brown|Grey|Cold White,#55331A|#8C9099|#D9DFE5,21.0005,13.9905,12.8780,12.3830,12.2432,30.8959,13.1868
275,Azure Blue|Brown|Purple,#0066D9|#55331A|#6C47B2,21.1306,13.9972,12.8502,12.3780,12.2613,30.9165,13.1876
276,Black|Cold White|Yellow,#080A0D|#D9DFE5|#FFE800,30.7834,14.8547,12.6051,11.5786,11.1671,29.8383,13.2167
277,Black|Brown|Magenta,#080A0D|#55331A|#F24574,21.4765,13.9859,12.7978,12.4526,12.5344,31.8498,13.2192
278,Black|Purple|Olive Green,#080A0D|#6C47B2|#948902,39.2401,16.7383,12.0964,9.7022,8.7455,43.2949,13.2202
279,Blue|Brown|Dark Olive Drab,#003776|#55331A|#575B54,20.0797,13.7790,12.9253,12.6702,12.7479,30.6595,13.2246
280,Brown|Grey|Magenta,#55331A|#8C9099|#F24574,21.4810,14.1465,12.8734,12.3170,12.1739,31.3232,13.2317
281,Azure Blue|Brown|Dark Olive Drab,#0066D9|#55331A|#575B54,20.0407,13.8088,12.9468,12.6637,12.7123,30.6947,13.2363
282,Brown|Purple|Grey,#55331A|#6C47B2|#8C9099,20.9987,14.0618,12.9297,12.4266,12.3070,30.9893,13.2442
283,Dark Grey|Brown|Magenta,#485259|#55331A|#F24574,21.2391,14.0325,12.8753,12.4810,12.5148,31.1656,13.2568
284,Dark Olive Drab|Lime Green|Yellow,#575B54|#D5D701|#FFE800,19.2295,14.1039,13.1110,12.4839,12.0940,24.0596,13.2939
285,Green|Black|Yellow,#06924D|#080A0D|#FFE800,30.8152,14.9237,12.6903,11.6762,11.2743,29.8499,13.3000
286,Brown|Dark Olive Drab|Grey,#55331A|#575B54|#8C9099,19.9464,13.8893,13.0413,12.7188,12.7443,30.9202,13.3040
287,Azure Blue|Brown|Grey,#0066D9|#55331A|#8C9099,21.0429,14.0731,12.9816,12.5524,12.4944,30.8964,13.3128
288,Blue|Brown|Grey,#003776|#55331A|#8C9099,21.1016,14.0607,12.9732,12.5841,12.5889,30.8818,13.3224
289,Black|Olive Green|Yellow,#080A0D|#948902|#FFE800,31.3026,15.0483,12.6888,11.5995,11.1680,30.6936,13.3239
290,Polymaker Teal|Brown|Magenta,#4CC0C7|#55331A|#F24574,21.7779,14.3322,12.9744,12.3453,12.1808,32.0050,13.3388
291,Black|Polymaker Teal|Yellow,#080A0D|#4CC0C7|#FFE800,30.8580,14.9573,12.7298,11.7231,11.3225,30.0819,13.3402
292,Brown|Cold White|Magenta,#55331A|#D9DFE5|#F24574,21.6650,14.3054,12.9972,12.3985,12.2157,31.6683,13.3519
293,Brown|Purple|Magenta,#55331A|#6C47B2|#F24574,21.6175,14.2683,12.9945,12.4407,12.2903,31.4138,13.3545
294,Dark Grey|Brown|Grey,#485259|#55331A|#8C9099,20.6039,13.9278,13.0428,12.8048,12.9079,30.9881,13.3663
295,Black|Lime Green|Yellow,#080A0D|#D5D701|#FFE800,30.8852,15.0173,12.8031,11.8012,11.3967,29.8124,13.4092
296,Blue|Brown|Magenta,#003776|#55331A|#F24574,21.7249,14.2674,13.0106,12.5537,12.5182,31.2666,13.4106
297,Azure Blue|Dark Olive Drab|Yellow,#0066D9|#575B54|#FFE800,19.8048,14.3401,13.2073,12.4901,12.0635,26.4639,13.4151
298,Blue|Dark Olive Drab|Tan,#003776|#575B54|#A79E82,17.6486,14.0353,13.3292,12.8261,12.4474,26.2615,13.4307
299,Azure Blue|Brown|Magenta,#0066D9|#55331A|#F24574,21.6989,14.3277,13.0469,12.5338,12.4570,31.9300,13.4308
300,Brown|Dark Olive Drab|Purple,#55331A|#575B54|#6C47B2,20.1701,14.0276,13.1635,12.8654,12.8856,31.2735,13.4465
301,Dark Grey|Tan|Lime Green,#485259|#A79E82|#D5D701,18.9974,14.1758,13.3138,12.7707,12.3999,24.2063,13.4733
302,Black|Grey|Olive Green,#080A0D|#8C9099|#948902,31.9578,15.2873,12.7900,11.6818,11.2557,32.8796,13.4846
303,Black|Dark Olive Drab|Pink,#080A0D|#575B54|#F1A1AF,19.9487,14.1785,13.4129,13.1041,13.0426,27.5608,13.6413
304,Dark Grey|Tan|Cold White,#485259|#A79E82|#D9DFE5,17.9573,14.2734,13.5922,13.0898,12.6837,24.2891,13.6816
305,Dark Grey|Polymaker Teal|Tan,#485259|#4CC0C7|#A79E82,17.9598,14.2760,13.5934,13.0881,12.6805,24.2891,13.6821
306,Dark Grey|Grey|Tan,#485259|#8C9099|#A79E82,17.9650,14.2872,13.6118,13.1144,12.7114,24.2910,13.7008
307,Dark Olive Drab|Grey|Olive Green,#575B54|#8C9099|#948902,23.7411,14.8912,13.3726,12.5220,12.0320,30.2790,13.7066
308,Green|Dark Grey|Tan,#06924D|#485259|#A79E82,18.0525,14.3348,13.6481,13.1419,12.7355,24.4078,13.7383
309,Dark Olive Drab|Olive Green|Cold White,#575B54|#948902|#D9DFE5,23.6860,14.9555,13.4616,12.6219,12.1318,30.3620,13.7887
310,Polymaker Teal|Dark Olive Drab|Olive Green,#4CC0C7|#575B54|#948902,23.6909,14.9600,13.4652,12.6242,12.1339,30.3704,13.7921
311,Blue|Black|Olive Green,#003776|#080A0D|#948902,33.4220,15.7614,13.0197,11.8256,11.4298,33.0543,13.7935
312,Dark Grey|Dark Olive Drab|Olive Green,#485259|#575B54|#948902,24.3317,15.0331,13.4512,12.5851,12.1007,30.4630,13.8091
313,Green|Dark Olive Drab|Pink,#06924D|#575B54|#F1A1AF,20.6668,14.7865,13.6144,12.9029,12.4604,28.3026,13.8447
314,Azure Blue|Black|Olive Green,#0066D9|#080A0D|#948902,33.3365,15.8098,13.0802,11.9159,11.5160,33.1338,13.8629
315,Green|Dark Olive Drab|Olive Green,#06924D|#575B54|#948902,23.7178,15.0233,13.5429,12.7163,12.2398,30.3293,13.8698
316,Blue|Dark Olive Drab|Yellow,#003776|#575B54|#FFE800,21.3093,14.8654,13.6439,12.8989,12.4460,27.7418,13.8822
317,Black|Polymaker Teal|Olive Green,#080A0D|#4CC0C7|#948902,32.7109,15.7089,13.1578,12.0627,11.6812,33.1228,13.8858
318,Black|Olive Green|Cold White,#080A0D|#948902|#D9DFE5,32.7279,15.7137,13.1600,12.0682,11.6938,33.2267,13.8909
319,Green|Black|Olive Green,#06924D|#080A0D|#948902,32.6899,15.7050,13.1590,12.0893,11.7377,32.8834,13.8972
320,Blue|Tan|Orange,#003776|#A79E82|#F67405,22.3021,14.9520,13.6519,12.8575,12.3337,33.7735,13.9047
321,Azure Blue|Dark Grey|Tan,#0066D9|#485259|#A79E82,18.1759,14.5290,13.8410,13.3288,12.9182,25.3505,13.9289
322,Dark Grey|Olive Green|Yellow,#485259|#948902|#FFE800,24.4557,15.1988,13.6106,12.7295,12.2276,27.8615,13.9641
323,Blue|Dark Olive Drab|Olive Green,#003776|#575B54|#948902,27.0898,15.4923,13.5292,12.4747,11.9195,31.4172,13.9835
324,Black|Dark Olive Drab|Lime Green,#080A0D|#575B54|#D5D701,23.4381,14.8208,13.7073,13.2199,13.0425,24.0517,14.0204
325,Black|Dark Grey|Olive Green,#080A0D|#485259|#948902,29.7078,15.5807,13.4506,12.4667,12.0446,33.6504,14.0237
326,Dark Olive Drab|Pink|Magenta,#575B54|#F1A1AF|#F24574,19.9762,14.8173,13.8491,13.2741,12.9545,28.8436,14.0457
327,Blue|Lime Green|Red,#003776|#D5D701|#E72F1D,27.8038,15.8750,13.6538,12.3455,11.5799,33.9391,14.1102
328,Blue|Green|Orange,#003776|#06924D|#F67405,26.8858,15.7389,13.7334,12.5958,11.8973,32.3641,14.1673
329,Dark Grey|Grey|Yellow,#485259|#8C9099|#FFE800,21.6026,15.1093,13.9569,13.2761,12.8717,25.0642,14.1927
330,Azure Blue|Dark Olive Drab|Olive Green,#0066D9|#575B54|#948902,25.5113,15.5902,13.8289,12.8297,12.2390,31.9131,14.2099
331,Dark Grey|Cold White|Yellow,#485259|#D9DFE5|#FFE800,21.9643,15.2045,13.9882,13.2588,12.8253,25.2712,14.2317
332,Dark Grey|Polymaker Teal|Yellow,#485259|#4CC0C7|#FFE800,22.0046,15.2333,14.0127,13.2742,12.8308,25.3240,14.2537
333,Dark Olive Drab|Cold White|Pink,#575B54|#D9DFE5|#F1A1AF,19.0973,14.9345,14.1377,13.6115,13.2573,27.7241,14.2730
334,Polymaker Teal|Dark Olive Drab|Pink,#4CC0C7|#575B54|#F1A1AF,19.1073,14.9457,14.1477,13.6176,13.2588,27.7253,14.2817
335,Green|Dark Grey|Yellow,#06924D|#485259|#FFE800,22.0427,15.2828,14.0613,13.3185,12.8737,25.4823,14.3007
336,Dark Olive Drab|Olive Green|Lime Green,#575B54|#948902|#D5D701,22.3710,15.2596,14.0386,13.3465,12.9518,27.9584,14.3031
337,Blue|Tan|Red,#003776|#A79E82|#E72F1D,22.6776,15.3592,14.0715,13.2680,12.7143,33.9670,14.3136
338,Dark Olive Drab|Grey|Pink,#575B54|#8C9099|#F1A1AF,19.0868,14.9773,14.1863,13.6667,13.3165,27.6973,14.3220
339,Dark Grey|Dark Olive Drab|Pink,#485259|#575B54|#F1A1AF,19.0779,14.9586,14.1974,13.7165,13.4087,27.6085,14.3375
340,Dark Olive Drab|Purple|Olive Green,#575B54|#6C47B2|#948902,30.1252,16.5543,13.7473,12.1217,11.2880,40.5361,14.3380
341,Azure Blue|Dark Olive Drab|Pink,#0066D9|#575B54|#F1A1AF,19.1436,14.9890,14.2019,13.6939,13.3554,27.8560,14.3414
342,Black|Dark Olive Drab|Magenta,#080A0D|#575B54|#F24574,22.1021,15.1368,14.0062,13.5642,13.5020,30.1728,14.3505
343,Blue|Dark Olive Drab|Pink,#003776|#575B54|#F1A1AF,19.2533,15.0093,14.2339,13.7533,13.4477,27.7944,14.3813
344,Dark Olive Drab|Purple|Pink,#575B54|#6C47B2|#F1A1AF,19.2605,15.0690,14.2704,13.7591,13.4308,28.4420,14.4141
345,Blue|Dark Grey|Tan,#003776|#485259|#A79E82,19.4047,15.1638,14.3908,13.8519,13.4398,26.8765,14.5079
346,Dark Grey|Grey|Olive Green,#485259|#8C9099|#948902,27.7919,15.9875,14.1039,13.1128,12.5667,31.7698,14.5501
347,Blue|Olive Green|Tan,#003776|#948902|#A79E82,29.6562,16.1471,14.1538,13.0468,12.3057,32.9800,14.5970
348,Dark Olive Drab|Cold White|Magenta,#575B54|#D9DFE5|#F24574,21.3656,15.5091,14.3492,13.7002,13.3770,30.0798,14.6047
349,Dark Grey|Lime Green|Yellow,#485259|#D5D701|#FFE800,22.2542,15.5691,14.3688,13.6531,13.2234,25.6361,14.6111
350,Blue|Lime Green|Orange,#003776|#D5D701|#F67405,27.2198,16.1708,14.2142,13.0910,12.4016,34.2284,14.6309
351,Polymaker Teal|Dark Olive Drab|Magenta,#4CC0C7|#575B54|#F24574,21.3876,15.5399,14.3799,13.7305,13.4067,30.0702,14.6352
352,Dark Olive Drab|Purple|Magenta,#575B54|#6C47B2|#F24574,21.4007,15.5462,14.3872,13.7393,13.4203,30.1755,14.6427
353,Dark Olive Drab|Grey|Magenta,#575B54|#8C9099|#F24574,21.3325,15.5428,14.3926,13.7503,13.4329,30.1055,14.6466
354,Azure Blue|Dark Olive Drab|Magenta,#0066D9|#575B54|#F24574,21.4117,15.5584,14.4057,13.7689,13.4569,30.1056,14.6636
355,Dark Grey|Dark Olive Drab|Magenta,#485259|#575B54|#F24574,21.3785,15.5508,14.4209,13.8197,13.5459,29.9817,14.6852
356,Blue|Dark Olive Drab|Magenta,#003776|#575B54|#F24574,21.4708,15.5742,14.4368,13.8252,13.5371,30.0485,14.6997
357,Dark Grey|Olive Green|Cold White,#485259|#948902|#D9DFE5,27.9095,16.1310,14.2621,13.2909,12.7391,31.8197,14.7110
358,Dark Grey|Polymaker Teal|Olive Green,#485259|#4CC0C7|#948902,27.9145,16.1358,14.2665,13.2940,12.7417,31.8199,14.7149
359,Dark Olive Drab|Grey|Lime Green,#575B54|#8C9099|#D5D701,20.1004,15.4233,14.5443,14.0068,13.6909,25.0263,14.7151
360,Dark Olive Drab|Lime Green|Cold White,#575B54|#D5D701|#D9DFE5,20.2764,15.4461,14.5462,14.0006,13.6751,24.8713,14.7234
361,Polymaker Teal|Dark Olive Drab|Lime Green,#4CC0C7|#575B54|#D5D701,20.2932,15.4654,14.5636,14.0144,13.6881,24.8727,14.7399
362,Green|Dark Olive Drab|Lime Green,#06924D|#575B54|#D5D701,20.2933,15.4661,14.5642,14.0150,13.6886,24.8727,14.7405
363,Black|Olive Green|Lime Green,#080A0D|#948902|#D5D701,32.3571,16.3716,14.1215,13.1868,12.8767,30.9506,14.7792
364,Blue|Dark Grey|Olive Green,#003776|#485259|#948902,31.2893,16.5121,14.2259,13.0586,12.4414,32.5808,14.7853
365,Green|Dark Grey|Olive Green,#06924D|#485259|#948902,27.9427,16.2089,14.3535,13.3939,12.8509,31.8170,14.8014
366,Dark Grey|Dark Olive Drab|Lime Green,#485259|#575B54|#D5D701,20.6267,15.6087,14.6831,14.1310,13.8091,24.9119,14.8699
367,Black|Grey|Lime Green,#080A0D|#8C9099|#D5D701,31.1180,16.3379,14.3080,13.4406,13.1378,28.8295,14.8892
368,Blue|Lime Green|Magenta,#003776|#D5D701|#F24574,28.7963,16.6777,14.5189,13.2918,12.5885,34.2358,14.9848
369,Black|Purple|Yellow,#080A0D|#6C47B2|#FFE800,31.8527,16.7388,14.4114,13.2858,12.8198,42.9928,15.0123
370,Azure Blue|Dark Grey|Olive Green,#0066D9|#485259|#948902,29.0687,16.5414,14.5625,13.5162,12.9054,32.5454,15.0288
371,Azure Blue|Dark Olive Drab|Lime Green,#0066D9|#575B54|#D5D701,20.8593,15.9169,14.9528,14.3608,14.0088,26.5255,15.1389
372,Blue|Dark Grey|Yellow,#003776|#485259|#FFE800,23.9702,16.2793,14.9125,14.0900,13.5979,28.8227,15.1846
373,Black|Dark Grey|Lime Green,#080A0D|#485259|#D5D701,29.7648,16.4603,14.6713,13.9092,13.6394,28.0267,15.1847
374,Dark Grey|Purple|Olive Green,#485259|#6C47B2|#948902,37.8076,17.9016,14.3486,12.4874,11.5163,43.4566,15.1945
375,Blue|Pink|Yellow,#003776|#F1A1AF|#FFE800,27.6744,16.7706,14.9059,13.8248,13.2063,34.4419,15.2977
376,Azure Blue|Dark Grey|Yellow,#0066D9|#485259|#FFE800,23.2278,16.4190,15.0863,14.2153,13.6672,30.4449,15.3172
377,Dark Grey|Olive Green|Lime Green,#485259|#948902|#D5D701,26.1117,16.5065,14.9691,14.1301,13.6719,29.5777,15.3183
378,Black|Lime Green|Cold White,#080A0D|#D5D701|#D9DFE5,32.1591,16.7945,14.7207,13.8493,13.5318,30.1154,15.3219
379,Blue|Green|Magenta,#003776|#06924D|#F24574,30.4242,17.1238,14.8144,13.5395,12.7818,33.4617,15.3316
380,Black|Polymaker Teal|Lime Green,#080A0D|#4CC0C7|#D5D701,32.1563,16.8237,14.7608,13.8885,13.5706,30.1750,15.3561
381,Green|Black|Lime Green,#06924D|#080A0D|#D5D701,32.1423,16.8170,14.7654,13.9052,13.5999,29.6741,15.3611
382,Blue|Lime Green|Pink,#003776|#D5D701|#F1A1AF,28.3967,16.9585,14.9849,13.8314,13.1445,34.5605,15.3950
383,Blue|Black|Lime Green,#003776|#080A0D|#D5D701,32.1782,16.9479,14.8191,13.9143,13.6054,29.9751,15.4311
384,Blue|Dark Olive Drab|Lime Green,#003776|#575B54|#D5D701,22.3659,16.3449,15.2400,14.5837,14.1933,27.7505,15.4643
385,Green|Dark Grey|Pink,#06924D|#485259|#F1A1AF,23.9133,16.5714,15.2116,14.4010,13.8871,28.9737,15.4862
386,Black|Polymaker Teal|Red,#080A0D|#4CC0C7|#E72F1D,29.9781,17.1188,15.0629,14.1203,13.8620,29.4522,15.6196
387,Purple|Olive Green|Red,#6C47B2|#948902|#E72F1D,40.3240,18.6150,14.7996,12.7847,11.6721,46.3056,15.6999
388,Blue|Red|Yellow,#003776|#E72F1D|#FFE800,27.7387,17.1506,15.3198,14.2752,13.6483,34.7227,15.7129
389,Purple|Olive Green|Magenta,#6C47B2|#948902|#F24574,42.5809,18.9198,14.8956,12.5815,11.2148,47.0631,15.7506
390,Azure Blue|Black|Lime Green,#0066D9|#080A0D|#D5D701,32.3754,17.4045,15.1601,14.1465,13.7702,30.7508,15.7755
391,Purple|Olive Green|Pink,#6C47B2|#948902|#F1A1AF,41.6844,18.6658,14.9806,12.9853,11.8654,46.4622,15.8256
392,Dark Olive Drab|Purple|Tan,#575B54|#6C47B2|#A79E82,20.4626,16.6454,15.6952,15.0244,14.5682,41.1276,15.8349
393,Blue|Olive Green|Cold White,#003776|#948902|#D9DFE5,37.2490,17.9406,15.2444,13.8657,13.0504,35.3984,15.9031
394,Blue|Grey|Olive Green,#003776|#8C9099|#948902,36.1486,17.8307,15.2911,13.9816,13.1865,34.9425,15.9061
395,Blue|Polymaker Teal|Olive Green,#003776|#4CC0C7|#948902,37.2614,17.9494,15.2546,13.8755,13.0550,35.4073,15.9124
396,Blue|Green|Olive Green,#003776|#06924D|#948902,37.2637,18.0067,15.3045,13.9340,13.1280,35.5250,15.9704
397,Blue|Azure Blue|Olive Green,#003776|#0066D9|#948902,37.2485,18.0374,15.3750,13.9968,13.1741,35.4964,16.0171
398,Blue|Tan|Magenta,#003776|#A79E82|#F24574,23.7291,17.0382,15.8561,15.0927,14.5400,34.6709,16.0654
399,Blue|Magenta|Yellow,#003776|#F24574|#FFE800,28.5927,17.5507,15.6542,14.6001,13.9785,34.6693,16.0754
400,Green|Purple|Red,#06924D|#6C47B2|#E72F1D,31.8155,18.3558,15.7037,14.1054,13.1719,43.4798,16.2306
401,Black|Dark Grey|Red,#080A0D|#485259|#E72F1D,26.5947,17.0720,15.8732,15.4329,15.3538,29.3520,16.2525
402,Blue|Olive Green|Yellow,#003776|#948902|#FFE800,33.5956,18.0074,15.7196,14.5225,13.8316,34.5258,16.2649
403,Dark Grey|Grey|Lime Green,#485259|#8C9099|#D5D701,23.4195,17.1979,16.1040,15.4442,15.0349,26.7602,16.3210
404,Dark Grey|Polymaker Teal|Red,#485259|#4CC0C7|#E72F1D,23.3411,17.1971,16.0933,15.5033,15.2147,28.2408,16.3502
405,Dark Grey|Lime Green|Cold White,#485259|#D5D701|#D9DFE5,23.6190,17.2682,16.1487,15.4842,15.0758,26.8523,16.3762
406,Green|Dark Grey|Lime Green,#06924D|#485259|#D5D701,23.6250,17.2737,16.1542,15.4887,15.0804,26.8070,16.3812
407,Dark Grey|Polymaker Teal|Lime Green,#485259|#4CC0C7|#D5D701,23.6324,17.2755,16.1552,15.4876,15.0778,26.7959,16.3815
408,Dark Grey|Cold White|Red,#485259|#D9DFE5|#E72F1D,23.0142,17.1131,16.1476,15.6548,15.4340,28.0919,16.3840
409,Blue|Tan|Yellow,#003776|#A79E82|#FFE800,25.2949,17.4817,16.1702,15.3200,14.6923,33.8124,16.4008
410,Blue|Purple|Olive Green,#003776|#6C47B2|#948902,43.9789,19.3603,15.4768,13.4690,12.4035,45.2091,16.4147
411,Dark Grey|Purple|Red,#485259|#6C47B2|#E72F1D,23.0465,17.1539,16.1924,15.7004,15.4771,28.3312,16.4272
412,Blue|Dark Grey|Red,#003776|#485259|#E72F1D,23.0465,17.1539,16.1924,15.7004,15.4771,28.3312,16.4272
413,Azure Blue|Dark Grey|Red,#0066D9|#485259|#E72F1D,23.0462,17.1543,16.1928,15.7012,15.4782,28.3305,16.4277
414,Dark Grey|Red|Magenta,#485259|#E72F1D|#F24574,23.0490,17.1571,16.1956,15.7038,15.4805,28.3374,16.4304
415,Dark Grey|Grey|Red,#485259|#8C9099|#E72F1D,22.9957,17.1769,16.2302,15.7480,15.5309,28.4010,16.4625
416,Dark Olive Drab|Purple|Yellow,#575B54|#6C47B2|#FFE800,24.3875,17.7532,16.2212,15.2450,14.6744,43.6997,16.4991
417,Blue|Orange|Yellow,#003776|#F67405|#FFE800,27.0106,17.7642,16.2572,15.3488,14.7744,33.3466,16.5565
