rank,labels,hexes,sigma0,sigma2,sigma4,sigma8,sigma16,p99_sigma2,rank_key
3775,Black|Polymaker Teal|White|Yellow,#080A0D|#4CC0C7|#EBF7FF|#FFE800,40.3480,34.4045,31.7428,29.1152,26.5945,59.5462,31.7598
3776,Black|Lime Green|White|Yellow,#080A0D|#D5D701|#EBF7FF|#FFE800,40.3480,34.4045,31.7428,29.1152,26.5945,59.5462,31.7598
3777,Azure Blue|Purple|Cold White|Yellow,#0066D9|#6C47B2|#D9DFE5|#FFE800,40.4067,34.2570,31.7099,29.2682,27.1488,80.1683,31.7626
3778,Blue|Azure Blue|Dark Grey|Olive Green,#003776|#0066D9|#485259|#948902,42.9918,34.2262,31.3824,29.3148,27.7339,81.0846,31.7705
3779,Polymaker Teal|Tan|Lime Green|Red,#4CC0C7|#A79E82|#D5D701|#E72F1D,37.7542,33.8981,31.9972,29.6619,26.9199,50.5565,31.7800
3780,Polymaker Teal|Tan|Red|Orange,#4CC0C7|#A79E82|#E72F1D|#F67405,37.7542,33.8981,31.9972,29.6619,26.9199,50.5565,31.7800
3781,Polymaker Teal|Tan|Red|Yellow,#4CC0C7|#A79E82|#E72F1D|#FFE800,37.7542,33.8981,31.9972,29.6619,26.9199,50.5565,31.7800
3782,Green|Polymaker Teal|Brown|White,#06924D|#4CC0C7|#55331A|#EBF7FF,40.2175,34.5572,31.7708,29.0134,26.3145,56.0069,31.7853
3783,Polymaker Teal|Brown|Olive Green|White,#4CC0C7|#55331A|#948902|#EBF7FF,40.2175,34.5572,31.7708,29.0134,26.3145,56.0069,31.7853
3784,Polymaker Teal|Brown|Lime Green|White,#4CC0C7|#55331A|#D5D701|#EBF7FF,40.2175,34.5572,31.7708,29.0134,26.3145,56.0069,31.7853
3785,Polymaker Teal|Brown|White|Yellow,#4CC0C7|#55331A|#EBF7FF|#FFE800,40.2175,34.5572,31.7708,29.0134,26.3145,56.0069,31.7853
3786,Azure Blue|Purple|White|Orange,#0066D9|#6C47B2|#EBF7FF|#F67405,36.1532,33.2550,31.8404,30.3204,28.9225,54.8883,31.7877
3787,Blue|Azure Blue|Brown|Orange,#003776|#0066D9|#55331A|#F67405,40.2290,33.5709,31.4721,30.0290,29.1620,60.7279,31.8000
3788,Azure Blue|Polymaker Teal|White|Pink,#0066D9|#4CC0C7|#EBF7FF|#F1A1AF,37.5294,33.8759,32.0009,29.7363,27.2603,51.4633,31.8061
3789,Azure Blue|Polymaker Teal|Cold White|Pink,#0066D9|#4CC0C7|#D9DFE5|#F1A1AF,37.5386,33.8793,32.0011,29.7524,27.2899,51.9175,31.8158
3790,Azure Blue|Dark Grey|Purple|Olive Green,#0066D9|#485259|#6C47B2|#948902,43.0396,34.2887,31.4256,29.3718,27.7961,81.3100,31.8302
3791,Azure Blue|Purple|White|Yellow,#0066D9|#6C47B2|#EBF7FF|#FFE800,40.4742,34.3194,31.7766,29.3525,27.2694,80.9387,31.8360
3792,Azure Blue|White|Pink|Orange,#0066D9|#EBF7FF|#F1A1AF|#F67405,36.2557,33.3349,31.8965,30.3477,28.9450,55.1936,31.8413
3793,Azure Blue|White|Magenta|Orange,#0066D9|#EBF7FF|#F24574|#F67405,36.2839,33.3431,31.8956,30.3397,28.9380,54.8299,31.8414
3794,Blue|Purple|Red|Pink,#003776|#6C47B2|#E72F1D|#F1A1AF,35.7974,33.2250,31.9245,30.4647,28.9575,67.6561,31.8448
3795,Blue|Purple|Pink|Magenta,#003776|#6C47B2|#F1A1AF|#F24574,35.7974,33.2250,31.9245,30.4647,28.9575,67.6561,31.8448
3796,Blue|Red|Pink|Magenta,#003776|#E72F1D|#F1A1AF|#F24574,35.7974,33.2250,31.9245,30.4647,28.9575,67.6561,31.8448
3797,Azure Blue|Dark Grey|Dark Olive Drab|Olive Green,#0066D9|#485259|#575B54|#948902,42.9147,34.2876,31.5150,29.4744,27.8144,80.6707,31.8810
3798,Azure Blue|Red|White|Orange,#0066D9|#E72F1D|#EBF7FF|#F67405,36.2959,33.3885,31.9486,30.3975,28.9986,54.8087,31.8930
3799,Polymaker Teal|Red|Pink|Magenta,#4CC0C7|#E72F1D|#F1A1AF|#F24574,38.5231,34.1658,32.0815,29.6273,26.7942,50.3720,31.8966
3800,Blue|Azure Blue|Purple|Pink,#003776|#0066D9|#6C47B2|#F1A1AF,35.8404,33.3023,32.0011,30.5300,29.0026,67.8855,31.9161
3801,Blue|Azure Blue|Red|Pink,#003776|#0066D9|#E72F1D|#F1A1AF,35.8404,33.3023,32.0011,30.5300,29.0026,67.8855,31.9161
3802,Blue|Azure Blue|Pink|Magenta,#003776|#0066D9|#F1A1AF|#F24574,35.8404,33.3023,32.0011,30.5300,29.0026,67.8855,31.9161
3803,Azure Blue|Black|Brown|Orange,#0066D9|#080A0D|#55331A|#F67405,40.3092,33.7358,31.5955,30.1047,29.2211,60.9184,31.9203
3804,Azure Blue|Brown|Purple|Orange,#0066D9|#55331A|#6C47B2|#F67405,40.3092,33.7358,31.5955,30.1047,29.2211,60.9184,31.9203
3805,Azure Blue|Brown|Red|Orange,#0066D9|#55331A|#E72F1D|#F67405,40.3092,33.7358,31.5955,30.1047,29.2211,60.9184,31.9203
3806,Azure Blue|Dark Grey|Olive Green|Red,#0066D9|#485259|#948902|#E72F1D,43.0727,34.3264,31.5169,29.5388,28.0144,81.0023,31.9326
3807,Blue|Azure Blue|Pink|Orange,#003776|#0066D9|#F1A1AF|#F67405,36.1197,33.4722,32.0647,30.4070,28.6986,69.2723,31.9396
3808,Azure Blue|Black|White|Magenta,#0066D9|#080A0D|#EBF7FF|#F24574,40.9027,34.9018,32.0339,28.9840,25.9648,64.5991,31.9429
3809,Polymaker Teal|Lime Green|Red|Magenta,#4CC0C7|#D5D701|#E72F1D|#F24574,38.5542,34.2184,32.1571,29.6897,26.8307,50.4551,31.9541
3810,Polymaker Teal|Red|White|Magenta,#4CC0C7|#E72F1D|#EBF7FF|#F24574,38.5626,34.2155,32.1408,29.6944,26.8773,50.2260,31.9549
3811,Green|Polymaker Teal|White|Pink,#06924D|#4CC0C7|#EBF7FF|#F1A1AF,38.9890,34.1595,32.0420,29.7639,27.4228,55.3304,31.9617
3812,Blue|Purple|Pink|Orange,#003776|#6C47B2|#F1A1AF|#F67405,36.1680,33.5015,32.0888,30.4317,28.7163,69.4597,31.9666
3813,Blue|Red|Pink|Orange,#003776|#E72F1D|#F1A1AF|#F67405,36.1680,33.5015,32.0888,30.4317,28.7163,69.4597,31.9666
3814,Blue|Pink|Magenta|Orange,#003776|#F1A1AF|#F24574|#F67405,36.1680,33.5015,32.0888,30.4317,28.7163,69.4597,31.9666
3815,Azure Blue|Dark Grey|Brown|Olive Green,#0066D9|#485259|#55331A|#948902,43.1551,34.4637,31.5869,29.4778,27.8999,81.2461,31.9707
3816,Black|Purple|White|Orange,#080A0D|#6C47B2|#EBF7FF|#F67405,40.5778,34.7012,31.9992,29.2470,26.6502,72.5045,31.9741
3817,Polymaker Teal|Cold White|Magenta|Yellow,#4CC0C7|#D9DFE5|#F24574|#FFE800,39.0427,34.3227,32.1404,29.6268,26.7909,50.5808,31.9748
3818,Polymaker Teal|White|Magenta|Yellow,#4CC0C7|#EBF7FF|#F24574|#FFE800,39.1343,34.3520,32.1538,29.6082,26.7640,50.7978,31.9801
3819,Polymaker Teal|Cold White|Red|Magenta,#4CC0C7|#D9DFE5|#E72F1D|#F24574,38.4868,34.2220,32.1748,29.7435,26.9300,50.3959,31.9827
